transaction_id,account_id,transaction_type,amount,transaction_date,channel
83,141,Loan Payment,36565.13,2025/02/20,Online
84,370,Withdrawal,3526.19,2025/05/25,ATM
85,117,Withdrawal,23680.61,2025/03/04,Mobile
86,618,Deposit,10928.88,2025/02/07,ATM
87,29,Loan Payment,12027.61,2024/12/11,Branch
88,679,Deposit,20477.55,2024/03/16,Online
89,336,Loan Payment,2703.18,2023/08/28,Mobile
90,769,Withdrawal,17310.49,2023/10/19,Branch
91,861,Deposit,1322.87,2025/02/02,ATM
92,779,Deposit,48919.41,2024/12/07,Online
93,482,Loan Payment,39232.45,2023/04/27,Mobile
94,473,Loan Payment,7965.03,2023/04/03,Mobile
95,98,Withdrawal,21645.33,2025/09/23,ATM
96,375,Withdrawal,40123.52,2024/05/18,Online
97,291,Withdrawal,2857.46,2024/12/19,Mobile
98,610,Deposit,10479.63,2025/06/15,ATM
99,715,Deposit,26407.00,2024/07/19,Mobile
100,561,Loan Payment,33452.21,2023/07/17,ATM
101,852,Withdrawal,48181.30,2025/10/03,Online
102,376,Loan Payment,42483.40,2025/08/20,Branch
103,51,Deposit,25489.81,2024/11/26,Mobile
104,755,Loan Payment,17947.55,2023/11/05,Branch
105,356,Withdrawal,13627.02,2025/11/11,ATM
106,800,Withdrawal,17102.39,2023/08/22,Online
107,436,Deposit,30230.92,2023/09/15,ATM
108,229,Withdrawal,20358.09,2023/10/06,Mobile
109,459,Withdrawal,20548.17,2025/10/21,Mobile
110,942,Withdrawal,27831.32,2023/02/20,Branch
111,857,Withdrawal,48424.75,2023/09/26,ATM
112,322,Deposit,38438.48,2024/01/22,Online
113,382,Deposit,3625.35,2024/06/03,Online
114,562,Loan Payment,16632.26,2023/03/08,Branch
115,251,Deposit,12392.79,2024/04/17,Branch
116,583,Deposit,31534.08,2025/01/09,Branch
117,750,Deposit,16350.57,2023/09/22,Mobile
118,145,Withdrawal,22191.17,2024/07/31,Branch
119,103,Withdrawal,8015.84,2023/02/16,Branch
120,703,Loan Payment,47747.60,2025/04/06,Online
121,160,Deposit,43930.10,2025/07/14,Mobile
122,628,Loan Payment,22283.13,2024/08/02,Mobile
123,328,Deposit,21352.40,2023/12/24,ATM
124,61,Withdrawal,10489.13,2024/07/24,ATM
125,822,Loan Payment,5412.69,2023/03/13,ATM
126,163,Deposit,37263.70,2024/08/30,ATM
127,996,Deposit,49364.28,2025/07/29,Online
128,309,Withdrawal,14829.33,2024/07/11,ATM
129,748,Loan Payment,34038.02,2024/12/16,ATM
130,287,Withdrawal,38528.83,2025/10/04,ATM
131,803,Loan Payment,4786.42,2024/02/12,Branch
132,698,Loan Payment,43248.87,2023/12/27,Mobile
133,996,Withdrawal,37040.61,2023/06/17,Branch
134,133,Deposit,16621.99,2025/07/08,ATM
135,460,Loan Payment,17909.33,2024/02/25,ATM
136,866,Deposit,3656.05,2023/07/13,ATM
137,977,Withdrawal,35667.48,2025/08/24,ATM
138,659,Deposit,45843.46,2023/02/26,ATM
139,796,Withdrawal,15532.34,2025/11/24,Mobile
140,930,Loan Payment,42438.13,2024/12/11,Online
141,22,Deposit,17721.92,2025/06/10,ATM
142,208,Loan Payment,32135.71,2024/07/10,ATM
143,805,Deposit,14097.57,2025/07/10,Online
144,815,Withdrawal,14364.50,2023/08/15,ATM
145,398,Deposit,38971.49,2024/07/09,Branch
146,725,Deposit,45778.08,2024/06/11,Mobile
147,846,Withdrawal,46494.90,2023/06/23,Mobile
148,958,Withdrawal,26843.58,2023/01/05,Online
149,840,Loan Payment,49686.91,2023/03/03,Online
150,111,Withdrawal,15944.08,2025/04/23,Branch
151,339,Deposit,2998.25,2025/09/29,Online
152,166,Withdrawal,34806.28,2025/09/26,Mobile
153,583,Loan Payment,4022.84,2024/05/01,Online
154,919,Withdrawal,34580.07,2025/06/26,Branch
155,642,Deposit,11640.28,2023/04/01,Online
156,513,Loan Payment,24161.93,2024/10/21,Branch
157,615,Deposit,34708.59,2024/07/02,ATM
158,404,Withdrawal,44750.05,2025/12/04,Online
159,173,Withdrawal,6904.30,2023/04/19,Branch
160,783,Withdrawal,32592.51,2025/02/22,Mobile
161,583,Deposit,22628.52,2025/05/12,ATM
162,519,Withdrawal,39661.73,2023/03/12,Branch
163,642,Loan Payment,18558.51,2023/05/15,Branch
164,80,Loan Payment,18266.09,2024/11/21,Mobile
165,304,Withdrawal,5264.42,2024/01/03,Branch
166,912,Loan Payment,43186.05,2024/09/10,Mobile
167,850,Deposit,31162.76,2024/06/16,Mobile
168,575,Withdrawal,37333.91,2024/04/23,ATM
169,968,Withdrawal,21047.87,2024/11/19,ATM
170,639,Deposit,14396.43,2023/07/17,Branch
171,117,Deposit,19043.27,2023/01/15,Branch
172,862,Withdrawal,40972.49,2023/06/03,Online
173,574,Deposit,47627.69,2024/12/19,Branch
174,891,Deposit,26931.55,2024/03/14,Mobile
175,730,Loan Payment,37943.31,2023/06/16,Online
176,699,Loan Payment,8381.18,2025/05/24,Mobile
177,961,Deposit,11068.52,2024/02/14,Branch
178,6,Loan Payment,29892.52,2023/11/18,Mobile
179,524,Withdrawal,11497.98,2025/10/25,Branch
180,548,Loan Payment,40945.28,2023/01/09,Online
181,624,Withdrawal,46994.46,2024/04/24,ATM
182,617,Withdrawal,30794.96,2025/08/22,Branch
183,975,Withdrawal,7573.43,2023/04/11,Branch
184,28,Loan Payment,9080.54,2023/12/28,Mobile
185,864,Loan Payment,16991.58,2025/07/13,Mobile
186,631,Withdrawal,21758.38,2023/01/31,Online
187,450,Loan Payment,11984.21,2024/07/20,Online
188,53,Deposit,30174.22,2024/11/20,Branch
189,625,Deposit,43983.36,2025/01/30,Branch
190,438,Loan Payment,40869.37,2025/07/05,Mobile
191,790,Withdrawal,46481.83,2025/02/27,Branch
192,744,Loan Payment,37328.81,2024/10/24,ATM
193,753,Withdrawal,44033.06,2023/10/05,Online
194,229,Withdrawal,33703.95,2024/08/29,Mobile
195,153,Loan Payment,8533.03,2025/10/01,Branch
196,806,Loan Payment,17709.92,2024/10/02,ATM
197,403,Loan Payment,29509.99,2025/10/18,Branch
198,241,Withdrawal,19649.27,2025/03/29,Online
199,778,Withdrawal,8907.08,2024/12/15,ATM
200,781,Withdrawal,44838.24,2023/04/17,Branch
201,614,Loan Payment,22323.89,2023/04/25,Online
202,394,Deposit,24502.29,2025/01/22,ATM
203,827,Withdrawal,29991.53,2025/06/11,Branch
204,620,Withdrawal,41287.79,2025/03/26,Mobile
205,451,Withdrawal,22702.93,2022/12/31,Online
206,168,Withdrawal,29395.75,2023/10/23,Mobile
207,392,Deposit,17305.76,2024/03/01,ATM
208,528,Deposit,3116.21,2023/02/01,Branch
209,859,Withdrawal,23580.48,2024/06/10,Branch
210,472,Loan Payment,47260.61,2025/11/12,Branch
211,139,Loan Payment,24866.60,2024/08/27,Online
212,636,Loan Payment,12598.38,2025/04/23,ATM
213,162,Deposit,32444.80,2024/02/08,Branch
214,189,Loan Payment,41715.80,2023/05/16,ATM
215,924,Loan Payment,10966.49,2025/10/29,Branch
216,658,Withdrawal,32193.96,2024/10/23,Branch
217,140,Withdrawal,3533.80,2025/06/12,Mobile
218,778,Deposit,8034.44,2024/12/25,Mobile
219,291,Loan Payment,30442.21,2023/05/25,Online
220,769,Loan Payment,15270.99,2024/07/08,ATM
221,44,Withdrawal,34539.77,2024/09/17,ATM
222,863,Loan Payment,27194.06,2024/10/07,Online
223,316,Loan Payment,44558.74,2024/09/17,ATM
224,428,Loan Payment,17478.05,2023/10/04,Online
225,976,Deposit,590.04,2024/04/08,Online
226,903,Withdrawal,5221.60,2022/12/31,ATM
227,691,Withdrawal,39657.53,2024/01/19,Branch
228,532,Withdrawal,17204.88,2024/03/27,Branch
229,680,Loan Payment,15246.84,2025/06/15,ATM
230,925,Withdrawal,26813.41,2023/01/28,Mobile
231,233,Deposit,20957.22,2024/04/19,ATM
232,322,Deposit,15201.61,2025/02/09,ATM
233,578,Deposit,46524.86,2024/08/22,Online
234,583,Withdrawal,22745.89,2024/09/02,ATM
235,972,Loan Payment,32721.62,2023/10/18,Online
236,835,Withdrawal,11816.71,2024/08/13,ATM
237,887,Withdrawal,11751.38,2023/03/24,Online
238,366,Deposit,28614.37,2023/06/14,ATM
239,298,Deposit,11165.54,2025/04/08,ATM
240,882,Loan Payment,43036.46,2023/07/01,Online
241,858,Deposit,6707.23,2025/10/06,Online
242,612,Deposit,29497.46,2023/12/04,ATM
243,209,Deposit,40699.83,2024/07/26,Branch
244,668,Deposit,6302.25,2023/09/06,Online
245,626,Loan Payment,15886.57,2023/11/29,Branch
246,268,Loan Payment,2445.75,2024/05/08,Online
247,693,Loan Payment,16522.26,2025/06/23,Branch
248,754,Withdrawal,23962.64,2023/09/30,Branch
249,719,Withdrawal,5868.73,2025/03/13,ATM
250,519,Loan Payment,20152.22,2024/07/19,Mobile
251,886,Deposit,7402.63,2023/04/27,Online
252,303,Loan Payment,46247.60,2024/06/20,ATM
253,388,Withdrawal,49399.65,2024/10/19,ATM
254,573,Withdrawal,7265.74,2023/09/27,Online
255,756,Deposit,40119.97,2024/01/20,ATM
256,450,Withdrawal,41711.50,2023/08/28,Mobile
257,96,Loan Payment,42787.60,2025/12/08,Mobile
258,555,Loan Payment,37610.75,2024/07/02,Branch
259,23,Deposit,28787.53,2024/05/04,Mobile
260,324,Deposit,31761.17,2025/07/25,ATM
261,543,Withdrawal,1040.52,2024/07/17,ATM
262,725,Loan Payment,12800.62,2024/10/07,Mobile
263,746,Deposit,11431.65,2023/01/23,Online
264,207,Withdrawal,10064.40,2023/08/20,ATM
265,363,Withdrawal,39236.00,2024/12/16,Online
266,240,Withdrawal,6632.74,2024/12/27,Online
267,123,Loan Payment,37803.62,2023/03/29,ATM
268,842,Withdrawal,5380.02,2023/05/26,ATM
269,157,Loan Payment,4016.47,2023/07/29,ATM
270,241,Deposit,23349.56,2024/06/20,Mobile
271,72,Withdrawal,42943.56,2024/07/22,ATM
272,687,Withdrawal,40341.75,2024/04/20,Branch
273,2,Withdrawal,32020.17,2023/09/29,Online
274,692,Withdrawal,32374.01,2024/02/23,Online
275,665,Deposit,29878.58,2025/03/09,Mobile
276,704,Deposit,23498.47,2024/08/02,Branch
277,127,Withdrawal,24162.04,2024/08/23,Mobile
278,23,Deposit,944.67,2023/02/02,Mobile
279,5,Withdrawal,2720.05,2024/11/22,Branch
280,866,Loan Payment,46460.56,2025/09/02,Mobile
281,468,Loan Payment,20139.66,2025/08/10,Branch
282,182,Withdrawal,40015.06,2023/07/01,Branch
283,597,Loan Payment,34958.86,2023/08/21,Mobile
284,47,Loan Payment,9687.71,2023/01/17,Online
285,9,Withdrawal,45251.77,2024/06/02,ATM
286,669,Loan Payment,24593.61,2025/11/29,Branch
287,332,Loan Payment,41072.84,2023/08/17,ATM
288,428,Deposit,18563.25,2024/02/24,Branch
289,669,Loan Payment,13408.03,2023/12/05,Mobile
290,72,Loan Payment,38830.09,2023/02/24,Branch
291,20,Withdrawal,47540.27,2024/05/09,Branch
292,991,Loan Payment,20691.91,2024/05/02,Branch
293,145,Withdrawal,45017.64,2023/09/24,Branch
294,612,Deposit,4379.02,2025/10/02,Branch
295,16,Withdrawal,22516.07,2024/02/10,Branch
296,21,Loan Payment,30839.63,2023/10/08,Online
297,225,Deposit,25585.31,2023/08/25,Branch
298,403,Withdrawal,40408.98,2024/04/08,Mobile
299,703,Loan Payment,46305.27,2023/02/08,ATM
300,219,Loan Payment,47777.48,2025/12/11,Online
301,568,Withdrawal,7901.43,2024/05/10,Mobile
302,438,Loan Payment,11169.32,2024/04/21,Branch
303,522,Deposit,20964.80,2024/11/13,Branch
304,969,Deposit,16657.90,2023/09/25,ATM
305,437,Deposit,45943.80,2024/09/16,Branch
306,278,Withdrawal,45776.90,2024/01/13,ATM
307,137,Loan Payment,46975.45,2024/12/23,ATM
308,19,Deposit,39705.98,2025/12/12,ATM
309,638,Deposit,42465.82,2023/12/26,Online
310,533,Deposit,9706.04,2023/01/22,Online
311,386,Withdrawal,22578.98,2023/02/27,Mobile
312,718,Deposit,23134.30,2023/12/22,Mobile
313,7,Deposit,44212.13,2023/01/27,Mobile
314,655,Deposit,926.19,2023/09/09,ATM
315,796,Withdrawal,4553.01,2025/08/10,Mobile
316,575,Deposit,33720.71,2025/11/25,ATM
317,166,Deposit,18462.26,2024/04/23,Branch
318,874,Loan Payment,35294.01,2024/05/20,Mobile
319,373,Deposit,1911.55,2023/07/11,Branch
320,842,Loan Payment,38965.74,2023/05/30,Online
321,516,Withdrawal,40943.61,2025/05/15,Mobile
322,178,Deposit,37184.44,2023/02/11,ATM
323,386,Withdrawal,38983.95,2023/01/24,Mobile
324,858,Deposit,42485.47,2024/11/24,ATM
325,426,Loan Payment,29584.46,2025/11/16,ATM
326,103,Loan Payment,32719.07,2024/03/13,Branch
327,83,Withdrawal,15266.21,2023/07/16,Online
328,963,Loan Payment,21499.78,2025/08/08,Online
329,967,Loan Payment,7141.38,2024/02/20,Branch
330,601,Deposit,34535.98,2024/08/24,Mobile
331,412,Deposit,41292.94,2023/03/07,Online
332,406,Deposit,37853.58,2024/10/20,ATM
333,841,Loan Payment,26145.75,2024/06/20,ATM
334,287,Deposit,4556.71,2023/03/21,Mobile
335,521,Withdrawal,26552.02,2024/05/13,ATM
336,621,Deposit,6813.48,2023/05/23,ATM
337,963,Deposit,32759.08,2025/12/04,Mobile
338,755,Loan Payment,4879.87,2024/12/04,Mobile
339,335,Loan Payment,47061.45,2024/10/13,ATM
340,572,Deposit,47820.24,2024/01/29,ATM
341,732,Withdrawal,13303.67,2025/11/29,Mobile
342,55,Deposit,17480.36,2023/05/16,Branch
343,771,Withdrawal,49658.53,2022/12/18,ATM
344,720,Loan Payment,13152.56,2024/08/12,Mobile
345,150,Withdrawal,17066.76,2024/01/29,ATM
346,126,Loan Payment,7883.22,2025/02/11,Mobile
347,249,Loan Payment,38633.26,2025/02/25,Mobile
348,998,Deposit,23464.02,2024/02/07,ATM
349,226,Withdrawal,23895.75,2025/09/14,Online
350,35,Deposit,47106.99,2025/01/25,Mobile
351,2,Withdrawal,2532.19,2023/04/02,Mobile
352,445,Loan Payment,16339.61,2025/02/24,Branch
353,620,Withdrawal,2080.45,2023/09/16,ATM
354,955,Withdrawal,42418.92,2024/08/20,Branch
355,194,Deposit,19091.87,2025/09/06,ATM
356,94,Withdrawal,19880.34,2023/04/07,Branch
357,148,Withdrawal,3376.67,2023/07/13,Branch
358,919,Loan Payment,20905.53,2025/04/26,Online
359,65,Deposit,11603.49,2025/07/27,ATM
360,349,Deposit,19468.72,2023/08/04,Mobile
361,769,Withdrawal,37426.87,2024/11/14,Online
362,83,Loan Payment,46237.69,2024/07/22,Branch
363,632,Deposit,31297.44,2024/05/29,ATM
364,948,Deposit,15651.67,2024/10/07,ATM
365,405,Loan Payment,41266.99,2024/02/28,Online
366,121,Loan Payment,47655.18,2023/02/06,Online
367,139,Loan Payment,4662.72,2024/09/14,Branch
368,685,Withdrawal,2189.03,2025/05/03,Branch
369,203,Loan Payment,5109.05,2025/05/30,ATM
370,359,Withdrawal,14121.24,2024/08/29,Branch
371,519,Loan Payment,27715.57,2024/09/15,Mobile
372,65,Deposit,46746.98,2024/11/28,Mobile
373,386,Deposit,11408.89,2024/03/24,Branch
374,168,Deposit,29330.11,2025/04/18,Branch
375,756,Deposit,25438.08,2024/05/12,Mobile
376,7,Loan Payment,8617.23,2024/09/22,Branch
377,57,Deposit,1456.43,2024/12/13,Mobile
378,977,Loan Payment,48753.88,2025/01/04,ATM
379,1000,Withdrawal,28997.22,2024/01/15,Branch
380,459,Withdrawal,26597.52,2022/12/27,Branch
381,57,Deposit,21847.75,2024/05/30,Online
382,467,Withdrawal,8101.36,2023/12/11,Mobile
383,94,Loan Payment,26861.90,2023/04/28,Online
384,388,Loan Payment,8676.16,2023/01/29,Mobile
385,745,Withdrawal,35778.66,2025/01/17,Mobile
386,329,Loan Payment,7078.27,2024/01/18,Branch
387,760,Deposit,5226.19,2024/01/09,ATM
388,257,Withdrawal,10279.82,2025/04/02,Branch
389,67,Loan Payment,42304.57,2023/05/16,Online
390,722,Loan Payment,26482.11,2024/05/27,Branch
391,203,Loan Payment,37804.21,2025/09/02,Online
392,663,Withdrawal,6430.91,2023/09/16,Mobile
393,125,Loan Payment,27200.86,2024/08/10,Mobile
394,415,Loan Payment,47414.18,2023/02/24,Online
395,420,Loan Payment,17539.54,2023/08/08,Online
396,465,Deposit,15672.50,2023/12/20,Mobile
397,974,Withdrawal,32562.98,2023/02/14,Online
398,853,Withdrawal,6782.95,2024/06/02,Online
399,337,Deposit,12823.35,2024/04/14,Mobile
400,70,Withdrawal,16051.45,2025/03/04,ATM
401,214,Loan Payment,7823.90,2023/03/04,Mobile
402,678,Deposit,42066.42,2025/03/25,Mobile
403,971,Loan Payment,46734.37,2024/09/22,Branch
404,548,Deposit,37914.55,2023/05/24,Mobile
405,472,Withdrawal,39492.63,2024/02/01,Mobile
406,617,Withdrawal,28164.74,2024/01/12,Online
407,346,Loan Payment,4272.02,2025/10/14,ATM
408,613,Withdrawal,45649.35,2024/12/08,Online
409,135,Deposit,6050.63,2025/08/16,Mobile
410,497,Loan Payment,45892.52,2025/10/24,Mobile
411,949,Deposit,32385.58,2023/04/18,Online
412,889,Loan Payment,8722.82,2023/12/23,Online
413,717,Loan Payment,2496.37,2025/07/09,ATM
414,728,Deposit,47091.66,2025/03/21,Mobile
415,436,Loan Payment,26366.15,2025/01/09,Mobile
416,470,Deposit,49985.14,2025/04/24,Online
417,170,Withdrawal,46337.01,2024/09/25,Mobile
418,196,Loan Payment,26379.92,2024/05/18,Online
419,845,Deposit,29773.46,2025/05/23,ATM
420,353,Loan Payment,35310.06,2024/11/19,Online
421,726,Withdrawal,7722.90,2023/02/24,Branch
422,116,Deposit,22489.44,2023/11/21,ATM
423,837,Deposit,19244.13,2025/04/23,Online
424,543,Loan Payment,25983.93,2024/04/01,Branch
425,682,Deposit,44977.79,2024/12/21,Online
426,7,Loan Payment,5563.63,2025/01/02,Online
427,962,Loan Payment,35034.25,2025/04/25,Online
428,909,Loan Payment,39301.61,2024/08/10,Online
429,137,Loan Payment,11152.76,2025/05/26,Branch
430,432,Loan Payment,28921.25,2025/03/13,Branch
431,593,Withdrawal,26783.99,2025/12/16,Mobile
432,489,Deposit,15370.12,2025/04/11,Branch
433,114,Withdrawal,12470.51,2025/06/07,Mobile
434,775,Withdrawal,41016.69,2025/02/09,Branch
435,391,Withdrawal,26152.82,2025/10/23,Online
436,905,Deposit,11393.76,2024/11/29,Mobile
437,818,Withdrawal,47440.76,2023/07/27,Online
438,111,Deposit,29669.06,2025/09/13,Mobile
439,445,Withdrawal,9943.94,2024/07/05,Branch
440,868,Deposit,47724.30,2025/07/08,Mobile
441,625,Withdrawal,27860.31,2025/05/14,Branch
442,496,Withdrawal,38890.39,2024/07/01,Mobile
443,532,Withdrawal,6142.72,2023/07/10,Mobile
444,865,Loan Payment,6013.96,2025/04/05,Branch
445,405,Deposit,5585.22,2023/05/23,Mobile
446,836,Loan Payment,45638.71,2024/08/29,Mobile
447,241,Deposit,39239.84,2025/07/14,Online
448,175,Loan Payment,2510.07,2024/11/13,Branch
449,99,Withdrawal,1667.11,2024/05/08,Mobile
450,860,Withdrawal,20565.55,2023/07/13,Online
451,985,Deposit,36997.91,2023/09/30,Online
452,454,Loan Payment,3307.87,2023/10/09,Online
453,625,Deposit,12694.24,2025/01/13,Mobile
454,558,Loan Payment,45094.98,2025/04/06,Online
455,609,Withdrawal,12024.54,2023/01/06,ATM
456,202,Withdrawal,9526.85,2025/08/19,Online
457,836,Withdrawal,12834.20,2025/07/08,Branch
458,535,Deposit,12427.28,2025/01/28,ATM
459,858,Loan Payment,20274.58,2024/10/12,Online
460,152,Deposit,17339.12,2023/04/15,Mobile
461,862,Withdrawal,49277.52,2023/01/26,Mobile
462,103,Loan Payment,21926.17,2023/11/02,Branch
463,460,Withdrawal,14267.52,2024/06/01,Branch
464,16,Deposit,9359.44,2025/07/11,Branch
465,85,Withdrawal,29184.45,2025/04/11,Branch
466,182,Withdrawal,4360.08,2025/03/03,Branch
467,900,Deposit,21695.40,2024/07/10,Online
468,498,Loan Payment,17993.80,2024/05/07,Online
469,404,Deposit,7486.31,2024/11/24,ATM
470,192,Loan Payment,10429.13,2022/12/23,Branch
471,358,Loan Payment,48838.84,2025/06/11,ATM
472,724,Loan Payment,8834.11,2023/11/19,ATM
473,151,Loan Payment,41115.25,2023/06/15,Branch
474,278,Withdrawal,44611.37,2025/07/28,Online
475,291,Withdrawal,33303.20,2023/01/09,Online
476,926,Withdrawal,29165.72,2023/12/04,Online
477,713,Deposit,5542.35,2023/01/11,Mobile
478,840,Loan Payment,26290.19,2024/05/13,Mobile
479,645,Deposit,5319.02,2025/04/06,Branch
480,661,Deposit,45708.27,2023/08/16,ATM
481,189,Loan Payment,17845.92,2024/05/30,ATM
482,357,Withdrawal,35687.71,2025/04/03,Branch
483,398,Deposit,21022.42,2024/11/12,Mobile
484,91,Withdrawal,43070.77,2024/04/21,Mobile
485,517,Loan Payment,23326.30,2025/12/03,Branch
486,26,Loan Payment,47044.67,2024/05/04,ATM
487,373,Loan Payment,15003.23,2025/03/23,Mobile
488,557,Deposit,3402.49,2024/08/31,Mobile
489,560,Withdrawal,5132.08,2023/05/17,Branch
490,447,Withdrawal,33704.14,2024/01/30,ATM
491,410,Withdrawal,24880.54,2023/11/23,Online
492,86,Withdrawal,22333.48,2023/12/27,Branch
493,661,Withdrawal,19044.37,2024/11/12,Mobile
494,673,Deposit,30037.59,2025/06/02,Mobile
495,869,Loan Payment,20936.08,2024/11/26,Branch
496,681,Deposit,12805.09,2023/05/23,Branch
497,698,Deposit,39155.44,2024/09/06,ATM
498,927,Withdrawal,9069.25,2025/03/27,Branch
499,973,Withdrawal,6207.59,2025/09/16,Branch
500,587,Loan Payment,28847.36,2024/04/14,ATM
501,246,Loan Payment,43125.94,2024/05/05,ATM
502,373,Withdrawal,30428.10,2024/04/13,ATM
503,541,Loan Payment,31603.20,2025/01/07,Mobile
504,85,Withdrawal,16430.22,2023/03/21,Online
505,824,Withdrawal,36818.86,2024/08/31,Branch
506,741,Deposit,8410.38,2025/08/07,Online
507,973,Loan Payment,21668.03,2024/01/12,Mobile
508,663,Loan Payment,3858.88,2025/06/17,Online
509,398,Deposit,4886.36,2025/02/23,Online
510,260,Withdrawal,35185.76,2023/12/25,Mobile
511,952,Withdrawal,42642.57,2023/07/24,Branch
512,730,Deposit,42669.45,2022/12/24,Online
513,447,Deposit,14549.08,2024/06/13,Branch
514,467,Deposit,35858.64,2025/05/03,Mobile
515,939,Loan Payment,19750.77,2023/01/27,Online
516,604,Loan Payment,4776.61,2024/12/25,ATM
517,670,Withdrawal,1403.84,2024/02/27,Mobile
518,275,Withdrawal,37140.82,2025/05/21,Online
519,675,Loan Payment,9649.10,2025/02/27,Mobile
520,479,Loan Payment,30629.72,2025/07/18,Mobile
521,843,Loan Payment,20522.06,2025/02/17,Branch
522,970,Withdrawal,41290.99,2023/07/10,Online
523,849,Loan Payment,35728.12,2023/07/15,Online
524,778,Loan Payment,12737.15,2024/07/23,Online
525,707,Deposit,1665.20,2025/04/05,ATM
526,363,Withdrawal,15770.54,2024/02/12,Mobile
527,636,Loan Payment,15444.61,2025/03/20,Branch
528,61,Deposit,40807.10,2024/09/16,Online
529,417,Deposit,15848.39,2023/11/07,Mobile
